replication,blocksize,dimension,start_reduce_percentage,reducers,taskio,start_time,start_reduce,end_time,total_time
2,168960000,6200000000,0.75,12,100,1457382599,1457382711,1457382835,236
1,16640000,500000000,0.5,12,100,1456960548,1456960593,1456960673,125
2,256000000,5700000000,0.75,12,100,1457374436,1457374614,1457374653,217
4,66560000,600000000,0.9,12,100,1457111015,1457111170,1457111178,163
4,168960000,3600000000,0.35,12,100,1457246808,1457246896,1457247019,211
3,99840000,4600000000,0.35,12,100,1457746294,1457746356,1457746519,225
1,128000000,380000000000,0.35,12,100,1458401577,1458404217,1458411696,10119
1,99840000,400000000,0.5,12,100,1456966481,1456966562,1456966704,223
1,128000000,620000000000,0.35,12,100,1458435661,1458439955,1458452160,16499
1,20480000,1500000000,0.35,12,100,1457213818,1457213861,1457213922,104
2,99840000,4600000000,0.35,12,100,1457723950,1457724020,1457724169,219
4,99840000,6200000000,0.35,12,100,1457774764,1457774831,1457775007,243
4,104960000,4600000000,0.75,12,100,1457777356,1457777462,1457777570,214
4,99840000,700000000,0.9,12,100,1457113485,1457113542,1457113563,78
2,16640000,200000000,0.5,12,100,1456968407,1456968461,1456968512,105
1,104960000,5700000000,0.75,12,100,1457712037,1457712153,1457712274,237
1,99840000,200000000,0.05,12,100,1456965305,1456965385,1456965395,90
1,19968000,700000000,0.35,12,100,1457166877,1457166914,1457166981,104
4,66560000,500000000,0.9,12,100,1457112457,1457112733,1457112744,287
3,66560000,600000000,0.9,12,100,1457105145,1457105313,1457105364,219
4,16640000,700000000,0.9,12,100,1457109662,1457109773,1457109775,113
2,99840000,5700000000,0.5,12,100,1457726989,1457727094,1457727224,235
2,99840000,4600000000,0.75,12,100,1457724553,1457724655,1457724760,207
3,104960000,4600000000,0.5,12,100,1457755032,1457755097,1457755244,212
3,20480000,2700000000,0.75,12,100,1457226997,1457227086,1457227127,130
3,76800000,1500000000,0.75,12,100,1457185074,1457185210,1457185247,173
3,76800000,800000000,0.35,12,100,1457183524,1457183570,1457183702,178
1,256000000,2700000000,0.75,12,100,1457216841,1457216936,1457216956,115
3,19968000,800000000,0.75,12,100,1457180196,1457180244,1457180329,133
1,104960000,3800000000,0.5,12,100,1457714401,1457714475,1457714598,197
2,168960000,5700000000,0.35,12,100,1457379388,1457379472,1457379609,221
1,148480000,800000000,0.35,12,100,1457176070,1457176132,1457176145,75
3,20480000,1500000000,0.35,12,100,1457228425,1457228458,1457228554,129
2,256000000,3800000000,0.75,12,100,1457376107,1457376286,1457376311,204
2,128000000,6200000000,0.35,12,100,1457744402,1457744474,1457744640,238
1,104960000,380000000000,0.35,12,100,1458223553,1458226329,1458233985,10432
1,99840000,6200000000,0.75,12,100,1457708487,1457708604,1457708719,232
4,99840000,200000000,0.5,12,100,1456995258,1456995327,1456995338,80
1,104960000,4600000000,0.35,12,100,1457709687,1457709752,1457709917,230
3,256000000,3600000000,0.75,12,100,1457229899,1457230115,1457230154,255
3,19968000,1500000000,0.75,12,100,1457181170,1457181234,1457181288,118
1,256000000,4600000000,0.35,12,100,1457354222,1457354315,1457354746,524
3,99840000,500000000,0.05,12,100,1456988197,1456988242,1456988434,237
4,104960000,6200000000,0.35,12,100,1457782425,1457782524,1457782681,256
